"id_calle";"calle"
"2022295";"MALVINAS ARGENTINAS"
"18990";"MARTIN ZAPATA"
"19430";"MATHEU"
"19425";"MENA"
"19414";"MIRABER"
"19412";"MISIONES"
"19411";"MITRE"
"19410";"MOCOVIES"
"20127";"MONS.ANGELELLI"
"19724";"MONS.D'ANDREA"
"19198";"MONS.RODRIGUEZ"
"19360";"MONTE DOS HERMANAS (EX 80.30)"
"19368";"N.S.DEL TRANSITO"
"19397";"NAC.UNIDAS"
"19394";"NECOCHEA"
"19392";"NEUQUEN"
"19926";"OB.BONEO"
"19285";"OB.PRINCIPE"
"19190";"OB.ROMERO"
"19362";"OCAMPO"
"19013";"OMAR VERA"
"19320";"P.ARGENTINAS"
"19876";"P.CASTAÑADUY"
"18984";"P.CENTENO"
"19730";"P.CULLEN"
"19862";"P.DE CEVALLOS"
"19658";"P.DE ESPINOSA"
"19325";"P.DE LA PATRIA"
"19421";"P.DE MENDOZA"
"19027";"P.DE VEGA"
"19713";"P.DIAZ COLODRERO"
"19618";"P.GALLEGO"
"19594";"P.GOYA"
"19868";"PADRE CATENA"
"19611";"PADRE GENESIO"
"19335";"PARAGUAY"
"19331";"PAREDES"
"19316";"PAVON"
"19303";"PBRO.J.C.PEREZ"
"19640";"PEDRO FERRE"
"19072";"PEDRO TAPPA"
"19305";"PEREZ DE DENIS"
"19298";"PERU"
"19297";"PIEDRABUENA"
"19296";"PIEDRAS"
"19336";"PIO PANDOLFO"
"19293";"PIVIDORI"
"128604";"PJE PRADERA DEL GANZO"
"2025770";"PJE. 209.50"
"19361";"PJE. ESTANISLAO DEL CAMPO (EX 80.70)"
"128764";"PJE. PUERTO ARGENTINO"
"128788";"PJE. PUERTO SAN CARLOS"
"128654";"PJE. TERESA DE CALCUTA"
"19036";"PJE.1 (2)"
"19860";"PJE.100.30"
"19859";"PJE.100.50"
"19855";"PJE.100.65"
"19858";"PJE.100.70"
"19856";"PJE.100.75"
"19854";"PJE.100.85"
"19857";"PJE.100.95"
"19835";"PJE.102.30"
"19834";"PJE.102.50"
"19836";"PJE.102.75"
"19784";"PJE.103.50"
"19840";"PJE.104.75"
"19841";"PJE.104.85"
"19819";"PJE.106.50"
"19818";"PJE.106.65"
"19817";"PJE.106.85"
"19838";"PJE.112"
"19837";"PJE.112.50"
"19796";"PJE.113.50"
"19820";"PJE.115.50B"
"19839";"PJE.118.50"
"19417";"PJE.1185"
"19781";"PJE.120"
"19782";"PJE.120.50"
"19779";"PJE.120.75"
"19778";"PJE.126.30"
"19777";"PJE.126.75"
"19780";"PJE.129.50"
"19795";"PJE.130.50"
"19785";"PJE.130.50A"
"19794";"PJE.130.50A"
"19793";"PJE.130.50B"
"19792";"PJE.130.60"
"19787";"PJE.131.50B"
"19789";"PJE.132 1/8"
"19791";"PJE.135.50A"
"19786";"PJE.136"
"19788";"PJE.138.75"
"19842";"PJE.141.30"
"19843";"PJE.143.50"
"19845";"PJE.147.25"
"19844";"PJE.147.50"
"19848";"PJE.153.50"
"19851";"PJE.155"
"19850";"PJE.155.50"
"19849";"PJE.155.50"
"19847";"PJE.156.50"
"19806";"PJE.163.30"
"19804";"PJE.163.70"
"19802";"PJE.163BIS"
"19816";"PJE.165.30"
"19815";"PJE.165.70A"
"19814";"PJE.165.90"
"19807";"PJE.167.30"
"19809";"PJE.167.50"
"19808";"PJE.167.70"
"19812";"PJE.169.30"
"19811";"PJE.169.50"
"19813";"PJE.169.70"
"19797";"PJE.171.50"
"19799";"PJE.173.70"
"19801";"PJE.175.30"
"19823";"PJE.181"
"19822";"PJE.181.50"
"19824";"PJE.183"
"19825";"PJE.183.50"
"19827";"PJE.189"
"19826";"PJE.189.30"
"19829";"PJE.193"
"19828";"PJE.193.50"
"19833";"PJE.195.50"
"19831";"PJE.197"
"19830";"PJE.197.50"
"19832";"PJE.199.50"
"19699";"PJE.2 1/2"
"19700";"PJE.2 N-S"
"19697";"PJE.200.30"
"19696";"PJE.200.50"
"19685";"PJE.201"
"19686";"PJE.201.30"
"19684";"PJE.201.50"
"19694";"PJE.205"
"19692";"PJE.205.70"
"19689";"PJE.207.30"
"19690";"PJE.207.70"
"19024";"PJE.22"
"19021";"PJE.26.50"
"19043";"PJE.3"
"19041";"PJE.307.50"
"19047";"PJE.32"
"19048";"PJE.32.50"
"19046";"PJE.32.50B"
"19052";"PJE.34.30"
"19803";"PJE.34.50"
"19049";"PJE.36.50"
"19051";"PJE.38.50"
"19744";"PJE.40"
"19737";"PJE.40.50"
"19743";"PJE.44.50B"
"19738";"PJE.46.50"
"19740";"PJE.48"
"19739";"PJE.48.50"
"19773";"PJE.50-30"
"19776";"PJE.50-50"
"19772";"PJE.50-70"
"19774";"PJE.50/80"
"19134";"PJE.62"
"19132";"PJE.62.25"
"144226";"PJE.62.25C"
"19133";"PJE.62.70"
"2027084";"PJE.72.30"
"19130";"PJE.74.50"
"19359";"PJE.82.50"
"19352";"PJE.83.50"
"19351";"PJE.83.75"
"19355";"PJE.86.50C"
"19354";"PJE.86.70"
"19353";"PJE.86.75"
"19326";"PJE.86/50C"
"19357";"PJE.88.50"
"19358";"PJE.89.50"
"19388";"PJE.90.50"
"19390";"PJE.90.75A"
"19379";"PJE.92.30"
"19380";"PJE.92.50"
"19370";"PJE.93.23"
"19383";"PJE.94.30"
"19382";"PJE.94.75"
"19375";"PJE.96.30"
"19374";"PJE.96.50"
"19372";"PJE.96.70"
"19371";"PJE.96.75B"
"19369";"PJE.97.50"
"19377";"PJE.98.50"
"19376";"PJE.98.70"
"20148";"PJE.AGUIAR"
"20139";"PJE.ALFONSO"
"20131";"PJE.AMBROSIO"
"20129";"PJE.AMERICA"
"20121";"PJE.ARGENTINO"
"20117";"PJE.ATUCHA"
"19602";"PJE.B.GODOY PONCE DE LEON"
"20100";"PJE.BANCO"
"19941";"PJE.BASEC"
"19930";"PJE.BOEDO"
"19867";"PJE.CAYASTA"
"19863";"PJE.CERVERA"
"19764";"PJE.COLORADO"
"19762";"PJE.COMUN 1"
"19760";"PJE.COMUN 2"
"19761";"PJE.CONDOMINIO"
"19865";"PJE.D.CERES"
"19497";"PJE.D.DE LEIVA"
"19306";"PJE.D.PEÑA"
"19185";"PJE.D.RUIZ"
"19629";"PJE.DEAN FUNES"
"19683";"PJE.DRAGO"
"19677";"PJE.E-62"
"19675";"PJE.E-63"
"19676";"PJE.E-64"
"19299";"PJE.E.PERON"
"19162";"PJE.E.SANCHEZ"
"19670";"PJE.ECHEVERRIA"
"19663";"PJE.ESCALADA"
"19662";"PJE.ESCALANTE"
"19532";"PJE.ESMERALDA"
"19654";"PJE.ESTE E-O"
"19653";"PJE.ESTE N-S"
"19646";"PJE.FALSIONI"
"19637";"PJE.FC.BELGRANO"
"62754";"PJE.FELIX BARRETO (EX 94.50)"
"19639";"PJE.FERREYRA"
"19638";"PJE.FERROCARRIL"
"19633";"PJE.FRAGA"
"19605";"PJE.G Y ESGRIMA"
"19219";"PJE.G.RAWSON"
"2006060";"PJE.GIANELLO"
"19454";"PJE.HNOS.MADEO 1"
"19453";"PJE.HNOS.MADEO 2"
"19570";"PJE.INGENIEROS"
"19435";"PJE.IRALA"
"19568";"PJE.IRIARZON"
"19550";"PJE.ITURRI"
"19622";"PJE.J.GALISTEO"
"19872";"PJE.J.J.CASTELLI"
"19731";"PJE.J.M.CULLEN DIAG."
"19193";"PJE.J.RODRIGUEZ"
"19543";"PJE.JUDICIAL"
"19537";"PJE.KOCH"
"19924";"PJE.L.BRAILLE N-S"
"19321";"PJE.L.PASTEUR"
"19531";"PJE.LA FE"
"19530";"PJE.LA PALMERA"
"19517";"PJE.LARRAMENDI"
"19503";"PJE.LASSAGA"
"19484";"PJE.LOMBARDI"
"19479";"PJE.LOS ANDES"
"19473";"PJE.LOS CHARRUAS"
"19495";"PJE.M.LEIVA"
"19423";"PJE.M.MENDEZ"
