Country Name,Country Code,Indicator Code,value_2014
Arab World,ARB,BAR.SEC.SCHL.4044.FE,
Arab World,ARB,BAR.SEC.SCHL.4044,
Arab World,ARB,BAR.SEC.SCHL.4549.FE,
Arab World,ARB,BAR.SEC.SCHL.4549,
Arab World,ARB,BAR.SEC.SCHL.5054.FE,
Arab World,ARB,BAR.SEC.SCHL.5054,
Arab World,ARB,BAR.SEC.SCHL.5559.FE,
Arab World,ARB,BAR.SEC.SCHL.5559,
Arab World,ARB,BAR.SEC.SCHL.6064.FE,
Arab World,ARB,BAR.SEC.SCHL.6064,
Arab World,ARB,BAR.SEC.SCHL.6569.FE,
Arab World,ARB,BAR.SEC.SCHL.6569,
Arab World,ARB,BAR.SEC.SCHL.7074.FE,
Arab World,ARB,BAR.SEC.SCHL.7074,
Arab World,ARB,BAR.SEC.SCHL.75UP.FE,
Arab World,ARB,BAR.SEC.SCHL.75UP,
Arab World,ARB,BAR.TER.SCHL.15UP.FE,
Arab World,ARB,BAR.TER.SCHL.15UP,
Arab World,ARB,BAR.TER.SCHL.1519.FE,
Arab World,ARB,BAR.TER.SCHL.1519,
Arab World,ARB,BAR.TER.SCHL.2024.FE,
Arab World,ARB,BAR.TER.SCHL.2024,
Arab World,ARB,BAR.TER.SCHL.25UP.FE,
Arab World,ARB,BAR.TER.SCHL.25UP,
Arab World,ARB,BAR.TER.SCHL.2529.FE,
Arab World,ARB,BAR.TER.SCHL.2529,
Arab World,ARB,BAR.TER.SCHL.3034.FE,
Arab World,ARB,BAR.TER.SCHL.3034,
Arab World,ARB,BAR.TER.SCHL.3539.FE,
Arab World,ARB,BAR.TER.SCHL.3539,
Arab World,ARB,BAR.TER.SCHL.4044.FE,
Arab World,ARB,BAR.TER.SCHL.4044,
Arab World,ARB,BAR.TER.SCHL.4549.FE,
Arab World,ARB,BAR.TER.SCHL.4549,
Arab World,ARB,BAR.TER.SCHL.5054.FE,
Arab World,ARB,BAR.TER.SCHL.5054,
Arab World,ARB,BAR.TER.SCHL.5559.FE,
Arab World,ARB,BAR.TER.SCHL.5559,
Arab World,ARB,BAR.TER.SCHL.6064.FE,
Arab World,ARB,BAR.TER.SCHL.6064,
Arab World,ARB,BAR.TER.SCHL.6569.FE,
Arab World,ARB,BAR.TER.SCHL.6569,
Arab World,ARB,BAR.TER.SCHL.7074.FE,
Arab World,ARB,BAR.TER.SCHL.7074,
Arab World,ARB,BAR.TER.SCHL.75UP.FE,
Arab World,ARB,BAR.TER.SCHL.75UP,
Arab World,ARB,BAR.SCHL.15UP.FE,
Arab World,ARB,BAR.SCHL.15UP,
Arab World,ARB,BAR.SCHL.1519.FE,
Arab World,ARB,BAR.SCHL.1519,
Arab World,ARB,BAR.SCHL.2024.FE,
Arab World,ARB,BAR.SCHL.2024,
Arab World,ARB,BAR.SCHL.25UP.FE,
Arab World,ARB,BAR.SCHL.25UP,
Arab World,ARB,BAR.SCHL.2529.FE,
Arab World,ARB,BAR.SCHL.2529,
Arab World,ARB,BAR.SCHL.3034.FE,
Arab World,ARB,BAR.SCHL.3034,
Arab World,ARB,BAR.SCHL.3539.FE,
Arab World,ARB,BAR.SCHL.3539,
Arab World,ARB,BAR.SCHL.4044.FE,
Arab World,ARB,BAR.SCHL.4044,
Arab World,ARB,BAR.SCHL.4549.FE,
Arab World,ARB,BAR.SCHL.4549,
Arab World,ARB,BAR.SCHL.5054.FE,
Arab World,ARB,BAR.SCHL.5054,
Arab World,ARB,BAR.SCHL.5559.FE,
Arab World,ARB,BAR.SCHL.5559,
Arab World,ARB,BAR.SCHL.6064.FE,
Arab World,ARB,BAR.SCHL.6064,
Arab World,ARB,BAR.SCHL.6569.FE,
Arab World,ARB,BAR.SCHL.6569,
Arab World,ARB,BAR.SCHL.7074.FE,
Arab World,ARB,BAR.SCHL.7074,
Arab World,ARB,BAR.SCHL.75UP.FE,
Arab World,ARB,BAR.SCHL.75UP,
Arab World,ARB,BAR.NOED.15UP.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.15UP.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.15UP.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.15UP.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.15UP.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.15UP.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.15UP.FE.ZS,
Arab World,ARB,BAR.NOED.1519.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.1519.FE.ZS,
